,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,qaanaaq,100,GL,1561484304,93,77.48,-69.36,34.09,4.65
88,faanui,69,PF,1561484298,72,-16.48,-151.75,79.09,15.52
89,solnechnyy,61,RU,1561484372,87,50.72,136.64,42.73,4.85
90,qujing,100,CN,1561484373,93,25.49,103.8,62.89,2.53
91,arlit,0,NE,1561484373,5,18.74,7.39,107.53,4.47
92,mazagao,40,BR,1561484373,62,-0.12,-51.29,89.6,11.41
93,san patricio,96,PY,1561484373,92,-26.98,-56.83,57.13,13.15
94,mount gambier,0,AU,1561484374,83,-37.83,140.78,33.8,6.93
95,yola,54,NG,1561484374,77,9.26,12.45,79.63,8.46
96,saint-pierre,0,FR,1561484375,35,48.95,4.24,91.4,5.82
97,aklavik,75,CA,1561484375,93,68.22,-135.01,41.0,11.41
98,langenlois,0,AT,1561484375,55,48.47,15.68,87.01,6.93
99,mezen,40,RU,1561484376,65,65.85,44.24,53.17,5.19
100,kozhva,100,RU,1561484376,71,65.11,57.05,45.25,4.81
101,east london,90,ZA,1561484033,93,-33.02,27.91,57.2,12.75
102,grindavik,90,IS,1561484376,93,63.84,-22.43,53.6,18.34
103,chokurdakh,0,RU,1561484377,40,70.62,147.9,66.67,10.49
104,chuy,100,UY,1561484377,73,-33.69,-53.46,52.27,21.47
105,saint-philippe,90,CA,1561484300,100,45.36,-73.48,66.99,10.29
106,lashio,98,MM,1561484377,97,22.93,97.75,71.35,0.43
107,tessalit,61,ML,1561484377,5,20.2,1.01,109.69,11.36
108,port lincoln,0,AU,1561484310,51,-34.72,135.86,57.31,18.01
109,buchanan,75,LR,1561484378,94,5.88,-10.05,78.8,9.17
110,thinadhoo,48,MV,1561484226,70,0.53,72.93,84.85,6.24
111,port hedland,0,AU,1561484379,51,-20.31,118.58,59.0,9.17
112,nanortalik,90,GL,1561484379,90,60.14,-45.24,41.29,4.12
113,avarua,100,CK,1561484309,83,-21.21,-159.78,71.6,4.7
114,harper,40,US,1561484379,51,30.3,-99.24,88.0,4.7
115,pisco,20,PE,1561484379,30,-13.71,-76.2,71.6,11.41
116,tateyama,0,JP,1561484380,68,36.66,137.31,71.01,11.01
117,arraial do cabo,0,BR,1561484302,62,-22.97,-42.02,84.2,11.41
118,the valley,40,AI,1561484329,66,18.22,-63.06,87.8,13.87
119,moshenskoye,94,RU,1561484380,75,58.52,34.59,58.57,2.77
120,saldanha,100,PT,1561484323,55,41.42,-6.55,72.43,2.26
121,corn island,100,NI,1561484381,81,12.17,-83.04,82.15,13.94
122,cape town,20,ZA,1561484236,71,-33.93,18.42,60.01,12.75
123,zeya,99,RU,1561484381,97,53.74,127.27,50.11,1.74
124,yar-sale,82,RU,1561484382,68,66.83,70.83,42.55,8.88
125,arandis,54,NA,1561484382,90,-22.42,14.98,55.0,5.01
126,clyde river,75,CA,1561484382,80,70.47,-68.59,41.0,9.17
127,kodiak,1,US,1561484382,54,39.95,-94.76,84.0,14.99
128,college,1,US,1561484383,62,64.86,-147.8,66.0,3.36
129,moissala,74,TD,1561484383,83,8.34,17.77,77.47,4.32
130,genhe,44,CN,1561484383,99,50.78,121.52,51.55,2.89
131,dingle,97,PH,1561484384,88,11.0,122.67,75.67,1.74
132,ribeira grande,20,PT,1561484384,60,38.52,-28.7,69.8,11.41
133,prainha,47,BR,1561484384,75,-1.8,-53.48,83.95,4.16
134,klenovyy,83,UA,1561484385,65,48.12,39.46,69.19,12.24
135,andros town,40,BS,1561484385,70,24.73,-77.79,87.01,9.17
136,grand gaube,75,MU,1561484385,83,-20.01,57.66,73.99,14.99
137,mao,20,DO,1561484385,49,19.55,-71.08,93.99,11.41
138,sur,0,OM,1561484386,78,22.57,59.53,81.79,13.22
139,romny,62,UA,1561484386,79,50.74,33.49,67.21,5.77
140,gorontalo,0,ID,1561484385,93,0.54,123.06,74.05,4.12
141,artyom,90,RU,1561484386,100,43.36,132.19,62.6,6.71
142,thompson,90,CA,1561484297,87,55.74,-97.86,60.8,4.7
143,erdenet,65,MN,1561484387,57,49.03,104.04,50.47,6.76
144,cortez,1,US,1561484308,10,37.35,-108.58,80.6,8.05
145,miri,58,NG,1561484387,59,10.31,9.75,82.51,6.96
146,kokopo,85,PG,1561484387,94,-4.34,152.27,70.27,3.62
147,georgetown,75,GY,1561484103,74,6.8,-58.16,89.6,11.41
148,port hardy,75,CA,1561484388,81,50.7,-127.42,53.6,4.7
149,caravelas,2,BR,1561484095,64,-17.73,-39.27,80.17,9.93
150,ouadda,100,CF,1561484388,95,8.07,22.4,70.63,4.65
151,champerico,75,MX,1561484318,66,16.38,-93.6,84.2,3.36
152,belmonte,91,PT,1561484389,50,40.36,-7.35,73.99,5.66
153,komsomolskiy,93,RU,1561484389,88,67.55,63.78,38.23,12.12
154,port elizabeth,40,US,1561484319,66,39.31,-74.98,88.0,13.87
155,yelizovo,90,RU,1561484389,100,53.19,158.38,44.6,4.47
156,kavieng,43,PG,1561484310,73,-2.57,150.8,84.67,10.63
157,padang,0,ID,1561484390,78,-0.92,100.36,82.33,6.38
158,sinnamary,7,GF,1561484390,82,5.38,-52.96,80.71,15.05
159,mae sai,75,MM,1561484390,94,20.44,99.89,77.0,5.82
160,haines junction,96,CA,1561484390,59,60.75,-137.51,60.55,2.13
161,stavern,0,NO,1561484391,76,59.0,10.03,61.0,11.41
162,shalakusha,100,RU,1561484391,62,62.23,40.26,53.71,3.09
163,mehriz,0,IR,1561484391,11,31.58,54.44,98.6,4.7
164,burdur,0,TR,1561484391,27,37.72,30.29,88.0,8.05
165,hermanus,48,ZA,1561484313,87,-34.42,19.24,59.0,7.0
166,port-gentil,20,GA,1561484392,78,-0.72,8.78,78.8,9.17
167,nanchong,100,CN,1561484165,97,30.8,106.08,66.67,1.07
168,aldan,61,RU,1561484392,88,58.61,125.39,49.21,2.62
169,narsaq,75,GL,1561484392,45,60.91,-46.05,64.4,3.36
170,sao joao del rei,75,BR,1561484121,50,-21.14,-44.26,75.2,9.17
171,lorengau,19,PG,1561484393,84,-2.02,147.27,79.27,4.36
172,roald,75,NO,1561484393,87,62.58,6.12,57.2,12.75
173,menongue,0,AO,1561484393,31,-14.66,17.68,59.83,2.17
174,escanaba,20,US,1561484393,60,45.75,-87.06,78.01,12.75
175,shingu,96,JP,1561484393,79,33.72,135.99,58.03,3.8
176,jalu,0,LY,1561484394,13,29.03,21.55,97.27,15.46
177,ambilobe,49,MG,1561484394,80,-13.19,49.05,73.87,4.14
178,rocha,100,UY,1561484394,61,-34.48,-54.34,48.31,19.24
179,ciudad bolivar,74,VE,1561484395,59,8.12,-63.55,88.63,9.82
180,nikolskoye,0,RU,1561484318,34,59.7,30.79,68.0,13.42
181,caucaia,20,BR,1561484395,58,-3.73,-38.66,84.2,20.8
182,tari,84,NG,1561484395,38,12.41,4.49,93.67,5.46
183,pangnirtung,75,CA,1561484396,61,66.15,-65.72,48.2,9.17
184,ocos,20,GT,1561484396,59,14.51,-92.19,89.6,4.7
185,masvingo,62,ZW,1561484396,58,-20.08,30.83,60.37,7.76
186,ileza,3,RU,1561484396,69,61.05,43.9,48.85,4.12
187,centralina,0,BR,1561484397,33,-18.58,-49.2,85.93,9.86
188,muromtsevo,37,RU,1561484397,98,56.37,75.24,62.71,6.46
189,eganville,75,CA,1561484397,69,45.54,-77.1,78.01,2.24
190,liverpool,75,GB,1561484204,77,53.41,-2.98,70.0,13.87
191,coihueco,40,CL,1561484398,61,-36.63,-71.83,55.0,6.93
192,nouakchott,0,MR,1561484398,40,18.08,-15.98,89.6,24.16
193,kloulklubed,75,PW,1561484398,88,7.04,134.26,78.8,14.16
194,lebanon,90,US,1561484326,82,43.64,-72.25,64.99,7.56
195,larsnes,75,NO,1561484399,87,62.2,5.58,59.0,8.05
196,ponta do sol,38,BR,1561484399,51,-20.63,-46.0,75.31,6.96
197,pedro ii,30,BR,1561484400,50,-4.43,-41.45,85.39,5.57
198,mahebourg,75,MU,1561484314,83,-20.41,57.7,73.99,14.99
199,muli,100,IN,1561484400,71,22.62,71.45,84.49,13.38
200,deputatskiy,47,RU,1561484401,57,69.3,139.9,59.47,4.38
201,namie,0,JP,1561484401,95,37.52,140.86,62.01,4.03
202,kizilskoye,23,RU,1561484401,71,52.73,58.89,56.95,8.23
203,khipro,15,PK,1561484401,47,25.83,69.38,92.23,17.13
204,mocuba,0,MZ,1561484402,97,-16.84,36.99,63.79,3.29
205,conceicao das alagoas,40,BR,1561484297,34,-19.91,-48.39,82.4,14.99
206,mahibadhoo,72,MV,1561484402,75,3.78,72.97,83.95,10.22
207,comodoro rivadavia,0,AR,1561484402,65,-45.87,-67.48,44.6,16.11
208,tiznit,0,MA,1561484325,88,29.7,-9.73,70.27,5.1
209,santiago del estero,84,AR,1561484403,16,-27.8,-64.26,58.93,15.61
210,roma,0,IT,1561484305,45,41.89,12.48,89.6,8.05
211,wanning,4,AT,1561484403,45,48.64,13.53,87.8,5.82
212,nieuw amsterdam,75,SR,1561484403,70,5.88,-55.08,86.0,6.93
213,severo-kurilsk,100,RU,1561484404,98,50.68,156.12,43.27,12.26
